,age,height,haircolor,hairlength,eyecolor,gender,boobsize,figure,worth
108,34,172,brown,middle,green,female,b,normal,45
109,40,142,black,middle,blue,female,a,normal,29
110,69,159,black,middle,brown,female,a,thin,11
111,45,180,brown,short,brown,female,d,fat,28
112,53,181,black,long,grey,female,c,thin,13
113,54,140,grey,middle,grey,female,c,fat,6
114,35,168,grey,middle,grey,female,a,fat,24
115,34,210,brown,middle,blue,female,c,thin,29
116,29,191,blonde,middle,green,female,a,normal,42
117,56,177,grey,long,blue,female,d,normal,20
118,26,159,brown,long,grey,female,d,sporty,44
119,50,213,red,middle,brown,female,c,chubby,10
120,21,161,blonde,long,green,female,d,fat,41
121,49,220,grey,long,brown,female,b,chubby,13
122,56,188,grey,long,grey,female,d,thin,10
123,23,207,blonde,short,green,female,b,normal,42
124,43,161,brown,long,brown,female,d,sporty,37
125,58,177,brown,long,green,female,a,thin,20
126,38,200,black,middle,blue,female,a,normal,29
127,58,158,brown,middle,grey,female,b,chubby,16
128,21,189,blonde,short,brown,female,a,normal,43
129,61,212,red,long,blue,female,d,fat,11
130,39,147,red,long,grey,female,a,fat,18
131,42,217,grey,short,green,female,b,thin,18
132,26,143,grey,middle,brown,female,b,normal,28
133,59,216,grey,middle,green,female,c,thin,10
134,55,184,grey,short,grey,female,b,sporty,16
135,48,185,blonde,middle,grey,female,a,fat,26
136,33,192,red,long,grey,female,d,chubby,22
137,62,147,brown,short,green,female,c,normal,19
138,19,147,brown,long,green,female,b,sporty,45
139,29,155,blonde,long,grey,female,c,normal,41
140,29,206,grey,middle,grey,female,d,thin,21
141,68,167,red,long,blue,female,b,thin,20
142,49,201,blonde,short,brown,female,b,fat,19
143,52,149,brown,middle,grey,female,c,sporty,19
144,39,196,brown,middle,brown,female,c,sporty,31
145,34,218,blonde,long,grey,female,a,sporty,35
146,66,216,black,short,blue,female,c,sporty,17
147,53,205,red,long,grey,female,b,normal,14
148,23,167,grey,middle,grey,female,a,thin,35
149,15,154,grey,long,green,female,b,sporty,34
150,47,188,brown,long,blue,female,c,fat,26
151,41,197,brown,middle,green,female,c,sporty,34
152,35,208,blonde,middle,grey,female,d,thin,27
153,46,178,blonde,short,blue,female,c,fat,35
154,59,209,grey,long,green,female,a,normal,13
155,25,147,blonde,middle,grey,female,b,normal,41
156,37,173,red,short,grey,female,c,thin,33
157,49,168,blonde,long,green,female,c,sporty,46
158,70,158,black,long,green,female,c,thin,13
159,37,170,blonde,long,blue,female,c,fat,39
160,48,213,blonde,long,grey,female,b,thin,25
161,21,169,blonde,short,brown,female,a,chubby,45
162,19,172,red,middle,brown,female,d,fat,36
163,50,220,grey,middle,green,female,c,chubby,10
164,37,155,grey,middle,brown,female,a,thin,19
165,28,143,red,long,blue,female,a,fat,25
166,41,206,grey,middle,brown,female,a,thin,14
167,60,219,red,middle,brown,female,d,chubby,10
168,52,220,grey,middle,grey,female,c,fat,6
169,32,203,grey,middle,brown,female,b,chubby,15
170,23,211,blonde,middle,green,female,d,thin,36
171,47,206,grey,short,grey,female,b,sporty,23
172,53,209,black,long,brown,female,a,chubby,8
173,17,148,black,middle,brown,female,c,fat,19
174,66,214,red,long,grey,female,a,chubby,11
175,19,158,grey,middle,green,female,c,chubby,32
176,33,149,red,short,green,female,b,chubby,24
177,14,203,grey,middle,green,female,b,chubby,20
178,36,142,grey,long,brown,female,b,chubby,15
179,37,146,blonde,middle,grey,female,b,thin,28
180,25,173,blonde,middle,brown,female,c,sporty,52
181,65,184,blonde,middle,brown,female,b,thin,16
182,63,174,black,middle,green,female,a,normal,22
183,45,217,black,short,green,female,b,sporty,28
184,41,182,red,long,blue,female,a,sporty,37
185,26,145,grey,middle,grey,female,c,sporty,33
186,20,162,black,long,grey,female,a,thin,35
187,50,156,red,middle,blue,female,a,sporty,21
188,60,188,grey,long,grey,female,b,chubby,10
189,29,176,blonde,short,blue,female,a,thin,45
190,63,207,black,short,brown,female,c,sporty,13
191,17,219,grey,middle,brown,female,d,fat,16
192,41,203,grey,long,blue,female,a,thin,20
193,51,216,red,middle,green,female,a,thin,12
194,58,211,grey,short,grey,female,c,fat,6
195,18,150,blonde,middle,green,female,d,fat,38
196,42,162,brown,long,green,female,b,fat,29
197,33,214,brown,middle,green,female,d,fat,23
198,70,146,grey,long,green,female,a,sporty,15
199,29,188,grey,short,grey,female,d,fat,20
