age,height,haircolor,hair,eyecolor,gender,beard,body,worth
15,151,grey,long,blue,male,large,muscle,54
54,207,brown,long,green,male,large,chubby,37
15,170,brown,middle,grey,male,none,normal,61
37,162,brown,long,grey,male,small,chubby,35
62,142,black,middle,grey,male,small,normal,23
70,160,blonde,long,green,male,none,muscle,29
36,146,black,short,grey,male,middle,chubby,47
70,198,red,long,blue,male,middle,chubby,20
36,199,blonde,long,green,male,large,normal,46
37,180,blonde,middle,grey,male,none,normal,62
58,207,black,long,blue,male,small,muscle,37
51,198,blonde,long,grey,male,none,chubby,35
45,150,blonde,short,brown,male,small,normal,46
37,205,brown,short,grey,male,large,normal,50
25,153,blonde,short,brown,male,large,chubby,57
39,219,grey,long,green,male,middle,muscle,47
39,208,brown,middle,green,male,large,muscle,55
43,211,red,short,green,male,small,chubby,32
48,220,grey,middle,blue,male,middle,normal,52
47,145,brown,short,brown,male,large,chubby,43
14,187,brown,long,blue,male,middle,muscle,58
20,209,brown,short,green,male,small,muscle,57
47,172,black,short,brown,male,middle,chubby,52
35,169,black,short,grey,male,middle,chubby,55
39,195,blonde,middle,green,male,small,muscle,56
31,149,grey,middle,grey,male,middle,muscle,54
52,140,black,long,brown,male,none,chubby,29
69,176,red,short,brown,male,middle,normal,31
18,161,red,middle,grey,male,middle,chubby,53
54,151,brown,middle,grey,male,small,chubby,40
28,214,red,long,blue,male,none,normal,40
31,184,blonde,long,grey,male,middle,muscle,57
66,164,grey,long,green,male,none,muscle,26
36,169,brown,long,blue,male,middle,chubby,53
57,158,grey,short,blue,male,large,normal,53
39,194,blonde,short,grey,male,large,normal,58
39,141,blonde,long,blue,male,none,normal,46
62,215,blonde,middle,brown,male,large,muscle,30
17,201,black,long,brown,male,large,muscle,46
30,151,blonde,long,grey,male,none,muscle,53
35,140,blonde,middle,grey,male,middle,chubby,50
43,200,brown,short,blue,male,none,normal,51
62,156,black,short,brown,male,none,normal,27
70,169,blonde,short,green,male,none,normal,35
42,205,red,middle,green,male,none,chubby,37
14,220,black,long,blue,male,none,chubby,39
17,219,blonde,short,green,male,large,muscle,62
20,152,red,middle,grey,male,middle,chubby,53
25,206,red,short,blue,male,small,chubby,42
28,184,brown,middle,brown,male,small,muscle,56
21,185,grey,middle,grey,male,small,normal,58
61,149,blonde,middle,green,male,none,chubby,28
25,202,grey,middle,brown,male,small,muscle,49
68,153,brown,long,blue,male,none,chubby,25
58,215,blonde,long,grey,male,none,chubby,35
62,210,brown,short,brown,male,small,muscle,25
49,203,blonde,short,green,male,middle,normal,54
24,154,brown,short,brown,male,large,muscle,62
50,169,grey,long,green,male,none,muscle,50
69,140,brown,middle,blue,male,middle,muscle,34
44,194,grey,short,green,male,large,normal,55
65,162,red,middle,blue,male,middle,chubby,27
67,158,blonde,middle,grey,male,none,normal,31
32,153,red,middle,brown,male,middle,muscle,49
50,141,red,short,green,male,middle,chubby,40
37,146,red,long,grey,male,large,normal,35
43,171,brown,middle,grey,male,small,normal,52
50,178,black,short,brown,male,middle,normal,58
44,170,black,middle,grey,male,small,normal,50
18,190,grey,long,grey,male,middle,normal,57
54,142,blonde,long,grey,male,none,normal,39
46,213,brown,short,grey,male,middle,muscle,53
49,199,grey,short,brown,male,small,muscle,40
30,151,blonde,long,brown,male,large,chubby,46
39,166,black,long,blue,male,small,normal,46
49,190,brown,long,grey,male,large,normal,46
64,215,black,short,green,male,small,normal,24
48,148,blonde,long,blue,male,none,chubby,41
51,198,blonde,middle,blue,male,middle,chubby,61
68,168,red,middle,grey,male,small,normal,25
29,176,grey,short,blue,male,small,muscle,64
47,185,black,short,green,male,middle,muscle,61
66,206,red,short,blue,male,large,normal,26
46,202,grey,short,green,male,small,chubby,37
24,187,grey,short,green,male,middle,muscle,68
46,207,red,long,green,male,middle,chubby,32
47,219,blonde,long,brown,male,large,normal,40
33,140,brown,short,green,male,large,muscle,55
35,147,grey,long,grey,male,none,muscle,42
23,206,grey,short,green,male,none,chubby,51
61,205,blonde,middle,grey,male,large,chubby,27
44,181,blonde,long,grey,male,none,muscle,52
26,148,grey,middle,blue,male,large,chubby,56
39,209,black,middle,brown,male,none,chubby,40
59,190,black,short,grey,male,large,normal,51
19,177,brown,long,blue,male,middle,muscle,72
42,151,blonde,short,grey,male,middle,muscle,60
57,202,blonde,long,brown,male,none,muscle,40
32,154,red,middle,blue,male,small,muscle,46
32,186,brown,middle,brown,male,large,muscle,57
26,142,grey,long,brown,male,none,chubby,39
33,148,grey,middle,grey,male,middle,normal,51
40,208,blonde,long,blue,male,large,muscle,51
49,141,black,long,brown,male,middle,normal,38
64,168,brown,middle,blue,male,none,normal,35
21,179,red,short,blue,male,none,normal,65
58,207,red,short,green,male,large,chubby,37
50,167,blonde,long,green,male,none,normal,51
16,164,grey,long,blue,male,middle,chubby,51
45,160,brown,long,brown,male,middle,muscle,48
30,204,grey,short,green,male,none,muscle,55
49,169,black,long,brown,male,middle,muscle,50
17,214,red,long,blue,male,small,normal,36
21,167,blonde,long,green,male,middle,muscle,69
21,216,brown,short,blue,male,large,muscle,66
33,145,red,long,green,male,small,muscle,33
66,141,black,middle,green,male,none,muscle,29
45,178,brown,short,blue,male,small,normal,58
17,200,brown,long,grey,male,middle,normal,49
64,147,black,long,grey,male,middle,muscle,26
23,149,red,long,blue,male,small,normal,39
26,159,red,long,green,male,middle,chubby,45
14,198,black,short,blue,male,large,muscle,56
46,149,red,middle,green,male,none,chubby,37
70,150,blonde,long,brown,male,middle,muscle,29
65,149,blonde,short,green,male,small,chubby,25
15,157,black,long,green,male,large,normal,49
54,186,blonde,short,green,male,middle,muscle,62
52,188,brown,middle,blue,male,large,normal,57
46,202,grey,short,blue,male,middle,normal,52
30,161,blonde,long,grey,male,small,chubby,41
19,217,black,long,blue,male,none,muscle,54
48,144,brown,middle,green,male,large,muscle,53
40,188,brown,long,grey,male,none,chubby,42
58,179,red,short,blue,male,middle,normal,57
16,213,red,middle,blue,male,small,muscle,47
34,181,grey,short,blue,male,large,muscle,63
45,194,grey,long,blue,male,none,chubby,43
51,153,red,middle,brown,male,large,chubby,37
56,181,black,middle,brown,male,none,normal,49
47,146,brown,short,blue,male,large,muscle,56
44,168,blonde,short,green,male,small,muscle,58
22,200,brown,short,grey,male,none,normal,57
16,197,grey,long,green,male,large,muscle,50
64,166,blonde,long,blue,male,middle,muscle,35
41,188,grey,short,blue,male,middle,muscle,62
69,219,black,middle,blue,male,middle,chubby,28
17,162,brown,long,grey,male,large,chubby,47
18,202,red,short,green,male,middle,normal,55
62,184,blonde,middle,green,male,none,chubby,32
55,185,black,long,green,male,large,chubby,43
26,163,red,short,brown,male,small,chubby,40
35,145,black,short,brown,male,middle,chubby,45
70,149,blonde,middle,green,male,none,normal,30
63,205,brown,long,blue,male,small,chubby,19
47,218,black,long,green,male,none,chubby,34
22,194,brown,middle,green,male,small,chubby,56
63,176,red,short,brown,male,none,normal,28
16,196,brown,middle,grey,male,small,chubby,44
29,153,blonde,middle,green,male,large,muscle,65
43,188,grey,long,green,male,small,muscle,43
68,158,black,middle,green,male,none,muscle,31
34,208,grey,long,grey,male,large,muscle,43
21,200,red,long,brown,male,large,chubby,37
17,156,black,middle,brown,male,middle,chubby,53
38,152,brown,long,green,male,middle,chubby,46
55,152,black,short,green,male,small,chubby,40
66,213,red,middle,green,male,small,normal,20
17,204,red,long,blue,male,small,muscle,39
17,179,red,short,blue,male,small,normal,56
45,154,blonde,long,green,male,small,muscle,45
49,145,grey,middle,green,male,large,normal,49
54,168,red,long,green,male,middle,chubby,40
56,207,grey,short,brown,male,small,chubby,32
51,186,black,short,brown,male,large,muscle,52
24,173,black,long,blue,male,small,normal,56
35,209,red,middle,grey,male,small,muscle,38
40,175,brown,long,brown,male,large,normal,52
65,190,red,short,brown,male,none,normal,25
26,163,black,short,green,male,middle,chubby,59
55,185,brown,short,brown,male,middle,normal,55
69,218,grey,long,blue,male,none,normal,23
18,193,brown,middle,blue,male,none,muscle,70
66,218,brown,short,brown,male,large,muscle,29
62,214,brown,middle,green,male,none,chubby,26
30,140,brown,middle,brown,male,large,muscle,55
33,198,red,short,brown,male,small,muscle,36
26,157,brown,middle,grey,male,none,normal,59
54,141,brown,middle,grey,male,middle,chubby,45
38,166,grey,middle,brown,male,middle,muscle,60
16,140,red,middle,grey,male,large,normal,47
54,145,blonde,long,blue,male,small,chubby,35
20,189,grey,long,green,male,large,muscle,60
39,147,brown,short,grey,male,none,muscle,52
31,179,red,long,brown,male,middle,muscle,49
22,181,blonde,middle,brown,male,small,chubby,56
58,205,brown,long,green,male,none,muscle,42
14,195,red,short,blue,male,none,chubby,47
63,206,grey,middle,green,male,small,muscle,26
50,140,black,long,brown,male,none,chubby,30
15,182,red,middle,blue,male,small,muscle,53
47,149,blonde,middle,brown,male,large,normal,49
57,215,black,short,blue,male,small,muscle,45
70,151,brown,short,blue,male,large,chubby,31
25,166,grey,short,green,male,none,normal,64
26,209,black,middle,blue,male,small,normal,52
45,214,black,long,grey,male,large,muscle,42
67,158,blonde,long,grey,male,large,muscle,29
15,198,blonde,short,blue,male,small,muscle,55
14,188,brown,short,blue,male,large,chubby,57
33,171,grey,middle,blue,male,none,chubby,56
69,152,grey,middle,brown,male,none,chubby,25
19,177,black,long,brown,male,none,normal,57
35,201,brown,middle,green,male,small,chubby,41
26,142,grey,long,grey,male,none,chubby,41
66,158,brown,long,brown,male,middle,chubby,23
16,187,black,middle,grey,male,middle,chubby,57
31,215,blonde,short,green,male,large,muscle,57
70,194,blonde,middle,blue,male,small,muscle,39
31,142,black,short,blue,male,large,chubby,48
65,216,blonde,middle,blue,male,none,normal,37
43,210,brown,long,green,male,middle,chubby,41
17,186,red,long,brown,male,none,muscle,44
22,220,black,long,grey,male,none,normal,47
25,176,red,middle,brown,male,none,muscle,60
28,172,grey,short,grey,male,none,normal,60
53,157,grey,middle,blue,male,middle,muscle,58
57,171,grey,long,green,male,none,chubby,43
30,143,red,short,brown,male,middle,muscle,49
19,168,grey,short,brown,male,large,normal,64
29,175,brown,short,brown,male,small,chubby,53
41,195,black,middle,green,male,middle,chubby,53
64,198,blonde,short,green,male,none,muscle,31
50,181,black,long,brown,male,none,normal,42
70,196,blonde,middle,grey,male,middle,muscle,32
62,146,black,middle,grey,male,none,chubby,24
27,195,brown,short,blue,male,small,normal,60
57,145,red,middle,brown,male,small,muscle,34
57,169,black,long,grey,male,large,muscle,49
52,184,red,long,green,male,middle,chubby,39
46,202,brown,short,blue,male,small,normal,45
15,146,blonde,middle,brown,male,middle,muscle,59
67,207,blonde,long,blue,male,none,muscle,28
15,147,brown,middle,grey,male,middle,normal,56
62,209,grey,short,blue,male,none,normal,28
66,204,black,middle,green,male,small,chubby,22
27,210,brown,middle,green,male,large,normal,59
35,217,blonde,short,brown,male,small,muscle,46
65,167,red,short,green,male,large,muscle,32
56,196,brown,long,blue,male,large,muscle,46
70,185,brown,short,brown,male,large,chubby,29
27,161,grey,short,blue,male,large,chubby,59
45,183,red,short,grey,male,none,chubby,43
21,199,blonde,long,brown,male,small,muscle,47
50,155,blonde,short,grey,male,none,muscle,55
49,185,grey,short,blue,male,middle,muscle,63
40,181,grey,long,blue,male,middle,normal,54
51,146,blonde,short,brown,male,small,normal,41
27,191,brown,long,grey,male,large,muscle,58
32,187,red,short,grey,male,small,normal,41
17,213,red,short,blue,male,middle,chubby,49
46,213,black,long,blue,male,none,muscle,43
46,140,grey,short,green,male,small,muscle,44
36,140,black,short,green,male,large,chubby,46
46,192,blonde,middle,blue,male,large,muscle,73
47,189,grey,middle,blue,male,small,chubby,45
70,161,black,long,blue,male,middle,normal,28
38,214,red,middle,grey,male,none,normal,40
44,152,grey,short,green,male,small,chubby,42
57,196,red,short,blue,male,middle,chubby,41
41,209,red,long,grey,male,middle,normal,35
34,198,black,short,blue,male,large,normal,52
51,142,black,long,green,male,small,normal,32
66,176,black,short,green,male,large,chubby,33
16,189,red,middle,green,male,none,muscle,56
22,194,grey,short,brown,male,small,muscle,57
70,200,blonde,short,grey,male,large,muscle,31
31,219,blonde,long,blue,male,none,muscle,49
22,218,black,short,green,male,small,normal,52
56,175,brown,short,grey,male,small,chubby,48
15,194,blonde,long,grey,male,large,muscle,56
34,148,brown,middle,brown,male,none,normal,47
42,162,brown,short,blue,male,small,chubby,46
54,216,brown,long,green,male,small,normal,34
54,210,red,middle,grey,male,middle,normal,41
27,153,black,long,brown,male,large,normal,49
14,215,brown,long,brown,male,none,chubby,35
46,192,red,long,grey,male,none,chubby,32
63,178,black,short,brown,male,middle,normal,34
54,206,red,middle,grey,male,middle,muscle,44
21,157,red,short,brown,male,small,muscle,49
55,181,brown,short,brown,male,small,normal,46
50,186,red,short,blue,male,small,chubby,39
55,162,red,middle,green,male,small,normal,38
38,204,blonde,short,grey,male,none,muscle,53
54,184,brown,short,blue,male,large,normal,59
24,203,black,middle,grey,male,small,chubby,44
33,165,red,middle,grey,male,small,muscle,47
60,192,brown,long,brown,male,middle,chubby,25
25,201,blonde,middle,brown,male,none,chubby,51
66,193,blonde,long,brown,male,none,muscle,28
64,171,red,long,green,male,small,chubby,19
24,148,grey,short,green,male,small,chubby,47
59,205,grey,middle,brown,male,none,muscle,44
64,181,red,middle,grey,male,large,muscle,30
46,143,grey,middle,green,male,middle,normal,50
17,214,black,short,brown,male,small,chubby,40
54,162,blonde,long,green,male,none,muscle,48
47,161,blonde,middle,brown,male,large,chubby,48
24,195,black,long,grey,male,large,chubby,49
28,188,grey,short,blue,male,middle,muscle,67
38,140,grey,short,grey,male,small,normal,41
36,154,red,short,green,male,large,muscle,51
51,179,red,middle,blue,male,none,chubby,49
17,168,grey,short,brown,male,none,normal,58
51,157,grey,middle,brown,male,small,chubby,36
49,203,red,short,brown,male,small,normal,31
14,150,brown,middle,blue,male,large,muscle,62
70,203,black,middle,blue,male,small,chubby,23
27,173,black,long,brown,male,small,chubby,46
62,156,black,short,blue,male,large,normal,32
44,164,grey,middle,grey,male,middle,normal,53
65,199,black,short,green,male,large,chubby,26
23,145,black,middle,green,male,middle,muscle,63
18,163,blonde,long,grey,male,none,normal,55
35,151,grey,long,green,male,large,normal,46
68,169,grey,middle,green,male,large,normal,34
30,170,grey,middle,brown,male,large,normal,60
32,150,blonde,long,grey,male,small,normal,41
50,187,red,middle,grey,male,large,chubby,42
32,151,red,middle,green,male,large,normal,48
32,165,grey,short,blue,male,large,muscle,64
43,153,blonde,short,grey,male,middle,muscle,60
59,173,black,long,blue,male,none,normal,51
41,216,blonde,short,brown,male,middle,normal,51
26,158,grey,long,blue,male,small,normal,48
61,162,red,short,green,male,middle,normal,28
22,207,red,short,brown,male,none,chubby,43
24,175,grey,long,grey,male,none,chubby,53
20,209,red,middle,blue,male,small,chubby,44
36,165,grey,long,brown,male,middle,normal,49
31,156,black,middle,brown,male,large,muscle,53
38,162,brown,middle,blue,male,large,normal,58
62,170,brown,long,grey,male,small,muscle,27
56,166,grey,short,blue,male,small,normal,51
63,158,black,middle,blue,male,small,normal,28
60,163,brown,long,grey,male,small,chubby,19
61,201,blonde,long,blue,male,none,muscle,28
34,146,brown,long,brown,male,small,chubby,30
31,220,brown,middle,green,male,small,muscle,48
45,197,blonde,middle,grey,male,middle,muscle,56
31,162,grey,short,brown,male,large,muscle,53
43,181,grey,middle,grey,male,none,normal,53
57,220,brown,short,green,male,none,chubby,43
42,209,brown,middle,grey,male,none,chubby,43
47,178,grey,short,grey,male,middle,chubby,56
53,196,brown,long,grey,male,none,muscle,40
60,166,brown,long,blue,male,middle,chubby,30
46,142,red,long,brown,male,middle,normal,32
36,150,brown,short,brown,male,large,chubby,48
21,153,blonde,long,green,male,none,normal,57
23,187,red,long,blue,male,none,muscle,52
60,145,grey,long,brown,male,middle,muscle,25
36,200,grey,middle,grey,male,small,normal,41
37,162,red,middle,brown,male,large,muscle,47
60,206,grey,middle,blue,male,large,muscle,31
17,214,red,long,blue,male,large,normal,43
19,164,blonde,long,blue,male,middle,chubby,59
63,164,grey,long,blue,male,small,chubby,20
66,195,brown,long,grey,male,large,normal,27
22,173,blonde,middle,brown,male,small,normal,64
41,207,black,long,brown,male,none,chubby,31
36,214,black,long,green,male,none,normal,40
23,174,blonde,middle,blue,male,small,normal,78
63,182,blonde,long,blue,male,middle,normal,33
49,219,blonde,long,brown,male,middle,muscle,45
66,218,black,middle,grey,male,none,muscle,28
39,196,red,long,brown,male,middle,chubby,30
17,169,black,short,grey,male,large,normal,62
43,219,blonde,short,grey,male,small,chubby,40
36,164,black,middle,brown,male,middle,muscle,55
40,164,blonde,long,grey,male,middle,muscle,53
63,158,black,short,grey,male,large,chubby,27
67,210,red,long,blue,male,middle,normal,22
52,168,brown,short,brown,male,large,normal,54
25,215,grey,middle,brown,male,large,chubby,49
15,215,brown,short,green,male,small,chubby,44
42,209,grey,middle,brown,male,large,chubby,41
25,198,black,middle,brown,male,none,normal,51
14,187,grey,middle,brown,male,small,chubby,42
30,167,grey,long,green,male,small,muscle,51
37,167,red,long,green,male,middle,chubby,43
57,206,blonde,short,blue,male,small,muscle,49
70,219,grey,short,blue,male,small,chubby,23
58,198,red,middle,brown,male,large,chubby,33
15,152,blonde,middle,grey,male,small,muscle,55
64,193,brown,long,grey,male,middle,normal,28
29,175,red,long,brown,male,small,muscle,44
67,166,black,long,blue,male,none,chubby,26
59,155,grey,middle,blue,male,large,muscle,56
33,161,grey,middle,green,male,small,chubby,43
51,160,red,short,blue,male,middle,chubby,45
58,185,red,middle,blue,male,small,normal,44
29,186,grey,short,green,male,large,normal,60
49,154,brown,middle,grey,male,small,chubby,41
15,201,red,short,brown,male,large,normal,43
62,207,black,short,brown,male,large,chubby,23
24,219,red,middle,brown,male,large,muscle,50
61,160,black,short,green,male,none,muscle,31
67,174,grey,middle,green,male,middle,chubby,34
55,194,brown,middle,grey,male,large,normal,53
64,215,blonde,long,grey,male,small,normal,20
46,155,blonde,short,brown,male,middle,normal,54
53,175,black,long,grey,male,small,chubby,38
49,215,grey,middle,grey,male,small,chubby,35
66,199,black,long,green,male,large,normal,23
67,202,black,middle,blue,male,small,normal,25
54,154,red,long,green,male,small,chubby,26
61,184,black,middle,green,male,small,muscle,31
21,150,black,middle,green,male,none,normal,61
43,160,brown,middle,brown,male,middle,normal,53
65,145,grey,middle,blue,male,middle,normal,31
28,140,blonde,middle,green,male,middle,chubby,56
57,188,black,middle,blue,male,large,muscle,58
31,212,red,middle,grey,male,none,muscle,43
32,140,grey,long,grey,male,large,muscle,43
38,153,red,long,brown,male,large,muscle,39
28,194,red,short,green,male,large,chubby,50
68,189,blonde,short,grey,male,none,muscle,34
16,194,brown,long,brown,male,none,normal,49
40,191,brown,short,grey,male,large,normal,56
36,204,black,short,blue,male,none,muscle,53
35,181,brown,middle,brown,male,middle,muscle,61
31,183,grey,short,green,male,small,normal,51
62,174,black,long,brown,male,large,chubby,26
51,199,blonde,long,blue,male,small,normal,38
70,196,blonde,middle,grey,male,large,normal,29
47,193,grey,short,green,male,middle,muscle,59
19,220,blonde,short,grey,male,middle,normal,63
49,203,black,middle,grey,male,middle,chubby,44
45,195,red,long,green,male,large,chubby,37
46,164,brown,short,grey,male,small,chubby,41
68,163,black,short,green,male,large,normal,31
49,151,red,middle,brown,male,none,normal,40
41,158,red,long,brown,male,none,normal,33
21,168,red,long,blue,male,middle,normal,58
51,206,blonde,long,grey,male,middle,normal,43
64,162,blonde,middle,grey,male,large,normal,32
64,148,grey,short,grey,male,large,chubby,25
49,206,grey,short,grey,male,middle,chubby,44
66,205,brown,long,grey,male,small,normal,19
64,193,blonde,middle,green,male,large,muscle,36
58,215,black,middle,brown,male,small,chubby,32
63,154,blonde,short,green,male,small,normal,29
45,147,red,short,grey,male,large,chubby,38
48,198,red,short,blue,male,none,chubby,38
31,218,red,middle,brown,male,middle,muscle,45
36,183,blonde,short,green,male,small,chubby,51
37,156,blonde,middle,blue,male,none,chubby,64
54,220,red,middle,grey,male,large,muscle,42
60,183,grey,long,blue,male,middle,normal,31
48,186,brown,short,green,male,middle,chubby,54
67,192,red,short,brown,male,small,muscle,23
63,189,blonde,middle,green,male,large,chubby,32
34,179,brown,middle,blue,male,none,normal,64
37,178,red,short,grey,male,none,normal,52
38,216,red,long,green,male,middle,normal,38
67,177,grey,short,green,male,middle,normal,37
44,176,grey,middle,green,male,middle,normal,63
14,208,black,short,brown,male,small,normal,40
50,191,blonde,middle,green,male,small,normal,51
70,217,red,short,grey,male,small,chubby,17
39,152,brown,short,blue,male,none,muscle,59
47,151,black,short,brown,male,small,chubby,37
41,173,black,short,blue,male,middle,chubby,61
60,199,brown,short,blue,male,large,chubby,28
14,196,blonde,middle,blue,male,small,normal,60
60,181,blonde,middle,green,male,large,normal,35
66,142,blonde,long,green,male,large,chubby,23
14,156,blonde,short,blue,male,large,muscle,64
22,215,black,middle,blue,male,large,normal,61
32,195,black,long,brown,male,none,chubby,38
47,161,grey,long,brown,male,middle,muscle,45
32,212,black,middle,blue,male,large,normal,52
65,193,black,middle,brown,male,none,muscle,30
28,180,brown,middle,blue,male,small,chubby,59
69,202,black,long,grey,male,large,normal,22
30,176,blonde,short,brown,male,none,chubby,60
