,age,height,haircolor,hairlength,eyecolor,gender,boobsize,figure,worth
171,55,219,black,short,grey,female,a,sporty,14
172,14,185,blonde,short,green,female,c,fat,31
173,28,177,blonde,middle,grey,female,c,fat,37
174,63,165,blonde,short,green,female,d,sporty,27
175,56,145,brown,long,grey,female,b,normal,17
176,17,156,red,middle,green,female,c,sporty,40
177,18,212,grey,short,grey,female,d,normal,32
178,21,193,blonde,long,green,female,a,thin,39
179,40,204,black,middle,grey,female,c,sporty,27
180,17,168,blonde,short,blue,female,b,sporty,55
181,69,149,black,middle,brown,female,d,sporty,14
182,47,166,blonde,middle,blue,female,a,sporty,48
183,64,187,brown,short,green,female,d,normal,20
184,40,144,red,short,blue,female,d,thin,25
185,59,160,black,middle,blue,female,d,normal,20
186,38,181,blonde,long,green,female,b,chubby,34
187,33,186,red,middle,green,female,b,chubby,26
188,39,168,brown,short,green,female,a,thin,38
189,60,152,brown,middle,grey,female,a,thin,16
190,29,169,black,short,brown,female,a,chubby,32
191,32,220,grey,long,grey,female,c,thin,17
192,53,146,black,long,blue,female,a,normal,16
193,35,169,red,short,blue,female,b,fat,32
194,33,201,grey,short,blue,female,a,fat,17
195,55,143,blonde,long,brown,female,a,fat,11
196,66,163,black,long,grey,female,a,normal,17
197,30,166,grey,short,green,female,a,thin,34
198,43,149,grey,short,grey,female,b,sporty,25
199,19,185,blonde,short,blue,female,a,chubby,45
