age,height,haircolor,hair,eyecolor,gender,boobs,figure,worth
47,185,blonde,short,grey,female,c,chubby,46
48,164,red,long,blue,female,b,thin,50
23,164,red,middle,green,female,b,chubby,53
27,181,black,short,blue,female,a,fat,37
56,156,red,middle,green,female,d,fat,23
15,170,blonde,middle,green,female,b,thin,60
37,181,black,middle,blue,female,a,thin,38
39,218,brown,middle,brown,female,b,chubby,39
58,150,blonde,long,blue,female,d,normal,42
50,146,black,short,grey,female,d,thin,19
44,143,red,middle,grey,female,b,chubby,36
20,159,black,short,brown,female,b,sporty,50
29,214,brown,short,blue,female,b,fat,41
47,191,brown,middle,brown,female,a,thin,34
30,196,grey,short,blue,female,d,thin,39
61,185,red,long,blue,female,a,sporty,29
61,212,blonde,middle,grey,female,d,thin,25
14,183,red,short,grey,female,d,normal,47
36,156,brown,short,green,female,d,sporty,53
21,219,brown,long,brown,female,a,sporty,54
24,218,blonde,middle,brown,female,b,fat,44
16,159,brown,long,brown,female,a,fat,42
46,186,brown,long,green,female,d,chubby,50
14,198,blonde,long,grey,female,b,chubby,48
31,200,grey,middle,brown,female,c,thin,35
70,217,black,long,blue,female,b,thin,24
59,206,red,short,brown,female,c,fat,17
19,207,brown,short,green,female,a,normal,48
52,207,grey,short,brown,female,a,normal,14
62,171,red,long,blue,female,b,sporty,37
44,184,brown,short,brown,female,a,normal,39
30,174,blonde,long,blue,female,b,normal,83
32,202,blonde,middle,green,female,a,normal,45
17,166,blonde,long,grey,female,a,normal,63
50,188,brown,middle,grey,female,b,normal,29
20,193,blonde,long,brown,female,a,thin,49
63,167,grey,short,green,female,d,thin,25
36,185,blonde,long,green,female,c,fat,54
66,190,brown,middle,green,female,c,normal,32
51,151,black,long,green,female,d,thin,26
33,190,grey,long,grey,female,c,chubby,44
44,218,grey,long,brown,female,c,sporty,46
14,188,grey,short,blue,female,d,thin,39
47,170,red,short,blue,female,a,sporty,49
31,204,red,short,brown,female,c,fat,31
35,185,brown,long,brown,female,d,sporty,58
41,141,red,short,green,female,c,fat,34
30,191,grey,long,brown,female,b,sporty,50
47,219,grey,middle,grey,female,a,normal,31
30,175,brown,middle,grey,female,c,normal,67
27,187,black,long,blue,female,b,normal,59
45,200,brown,middle,green,female,c,normal,52
44,166,grey,short,grey,female,b,fat,35
39,187,black,middle,grey,female,d,thin,40
61,209,blonde,short,brown,female,b,chubby,20
57,140,grey,middle,brown,female,b,fat,14
25,150,black,long,blue,female,a,thin,48
67,207,red,long,grey,female,b,thin,23
66,177,blonde,long,green,female,a,chubby,30
55,208,brown,long,blue,female,a,fat,22
23,150,red,short,brown,female,a,fat,32
53,165,red,long,green,female,c,fat,31
58,155,red,short,grey,female,d,sporty,26
35,196,red,short,blue,female,d,chubby,39
17,141,red,middle,brown,female,a,fat,30
30,146,brown,short,blue,female,a,sporty,48
18,184,brown,middle,brown,female,a,sporty,55
25,173,red,middle,grey,female,b,fat,52
15,192,black,middle,blue,female,c,sporty,55
18,211,brown,long,brown,female,b,fat,48
54,175,blonde,middle,brown,female,c,thin,32
31,183,grey,short,blue,female,b,normal,44
45,173,red,middle,brown,female,c,fat,46
27,196,blonde,short,green,female,d,sporty,58
37,166,black,long,grey,female,a,normal,50
49,146,red,middle,blue,female,c,normal,50
31,161,brown,short,brown,female,b,sporty,50
15,188,blonde,short,grey,female,c,sporty,57
48,143,brown,middle,brown,female,a,chubby,31
26,192,grey,short,green,female,d,sporty,49
36,173,brown,short,green,female,d,fat,49
43,220,grey,short,blue,female,c,thin,36
25,189,brown,middle,blue,female,b,thin,55
25,160,black,long,green,female,d,chubby,57
54,141,grey,long,brown,female,c,thin,22
14,163,blonde,long,brown,female,c,thin,57
57,152,red,long,brown,female,b,normal,28
69,215,blonde,middle,blue,female,a,chubby,23
49,194,brown,middle,brown,female,d,normal,46
38,219,black,middle,blue,female,d,sporty,49
32,203,red,middle,green,female,b,thin,39
38,189,grey,middle,brown,female,d,thin,36
59,193,brown,middle,brown,female,c,chubby,25
58,197,blonde,long,grey,female,d,normal,31
54,179,grey,long,green,female,b,fat,25
53,144,black,short,brown,female,a,normal,16
66,186,black,short,grey,female,d,thin,20
32,160,grey,middle,brown,female,d,thin,40
46,152,brown,middle,blue,female,a,thin,41
55,147,grey,long,blue,female,c,normal,29
50,203,red,short,brown,female,a,thin,14
46,185,red,short,green,female,c,thin,42
70,151,brown,middle,green,female,c,sporty,34
60,172,red,long,blue,female,b,thin,32
35,195,blonde,middle,blue,female,b,thin,48
24,142,brown,middle,green,female,b,thin,50
66,160,blonde,long,green,female,d,thin,33
36,145,grey,middle,brown,female,d,sporty,42
24,148,blonde,middle,blue,female,d,sporty,65
45,212,grey,long,grey,female,c,normal,46
61,156,brown,middle,brown,female,d,fat,23
68,195,brown,short,green,female,d,normal,27
33,171,brown,long,grey,female,c,chubby,61
21,142,black,short,grey,female,c,thin,44
42,145,red,long,green,female,c,fat,43
56,219,grey,long,blue,female,b,normal,26
52,183,red,short,grey,female,c,sporty,28
35,154,blonde,short,grey,female,d,normal,51
40,206,grey,middle,green,female,d,normal,43
42,204,red,short,green,female,d,fat,32
24,168,grey,middle,green,female,d,thin,55
54,179,black,long,brown,female,b,normal,30
40,188,red,middle,brown,female,b,chubby,38
66,200,red,short,blue,female,b,thin,20
64,158,red,short,brown,female,b,normal,23
19,203,blonde,short,blue,female,a,fat,42
29,189,blonde,long,grey,female,a,sporty,56
32,205,red,short,grey,female,d,thin,35
65,152,black,middle,brown,female,c,thin,23
14,145,red,short,grey,female,b,chubby,35
15,174,blonde,short,brown,female,a,fat,42
37,208,grey,middle,grey,female,d,thin,35
56,165,red,middle,blue,female,c,thin,32
25,215,black,middle,blue,female,b,fat,42
70,153,black,short,blue,female,a,normal,22
61,187,grey,long,blue,female,b,fat,22
26,208,black,long,blue,female,a,normal,50
14,194,brown,short,grey,female,b,thin,39
24,194,grey,middle,brown,female,d,fat,37
31,208,red,short,grey,female,b,chubby,33
47,168,red,long,brown,female,a,fat,38
16,215,grey,short,green,female,d,chubby,38
70,157,red,middle,brown,female,c,normal,28
58,199,blonde,long,blue,female,b,chubby,35
50,199,red,middle,brown,female,b,thin,20
56,204,red,middle,blue,female,c,thin,25
53,144,black,short,blue,female,c,normal,25
29,164,black,short,blue,female,c,thin,50
16,219,blonde,long,grey,female,b,sporty,60
38,201,blonde,middle,blue,female,b,fat,43
36,144,blonde,long,green,female,c,thin,53
53,156,black,long,blue,female,a,fat,20
23,205,grey,long,grey,female,b,thin,44
48,171,brown,middle,grey,female,c,sporty,63
37,159,grey,long,green,female,c,normal,53
43,191,red,short,blue,female,a,fat,29
41,214,grey,middle,brown,female,d,chubby,32
70,205,black,long,blue,female,b,chubby,24
25,218,black,short,grey,female,d,thin,40
29,189,red,short,blue,female,c,fat,44
31,183,blonde,long,brown,female,b,normal,56
51,206,black,long,brown,female,b,thin,20
49,196,red,short,green,female,d,chubby,35
40,213,red,short,grey,female,a,thin,27
51,188,red,middle,grey,female,d,normal,27
45,157,brown,long,brown,female,b,chubby,46
64,165,red,middle,blue,female,c,chubby,32
30,179,black,long,grey,female,c,chubby,57
53,176,blonde,short,grey,female,d,sporty,34
67,178,red,middle,grey,female,c,thin,29
42,149,brown,long,brown,female,c,chubby,47
56,205,red,short,grey,female,d,chubby,19
56,169,brown,short,green,female,a,thin,25
57,171,brown,long,blue,female,a,normal,35
31,206,black,long,blue,female,d,sporty,53
55,152,grey,long,blue,female,c,thin,28
34,199,grey,long,blue,female,b,fat,37
67,184,red,long,blue,female,c,chubby,31
35,212,red,middle,blue,female,d,chubby,43
68,171,black,short,grey,female,b,normal,28
17,151,grey,long,blue,female,c,normal,60
18,216,blonde,short,blue,female,c,fat,52
66,204,black,long,grey,female,a,normal,22
58,171,brown,middle,grey,female,c,fat,30
22,168,grey,short,grey,female,b,normal,55
55,187,brown,short,green,female,d,thin,25
22,199,brown,short,brown,female,a,sporty,46
31,197,brown,long,green,female,a,normal,47
38,218,grey,long,green,female,a,sporty,41
28,175,grey,short,brown,female,a,chubby,37
14,187,grey,long,grey,female,c,chubby,45
24,153,black,long,grey,female,c,chubby,54
22,141,blonde,long,blue,female,d,thin,72
50,187,grey,middle,grey,female,d,sporty,26
45,198,red,short,blue,female,a,normal,36
58,181,brown,middle,green,female,b,sporty,32
24,174,brown,middle,green,female,a,sporty,64
66,148,black,middle,blue,female,d,fat,21
27,161,red,long,green,female,b,thin,57
32,179,red,middle,brown,female,a,chubby,39
59,162,red,long,blue,female,b,normal,33
37,162,grey,short,blue,female,c,thin,44
43,190,grey,middle,brown,female,d,fat,31
70,178,brown,short,green,female,a,fat,22
25,189,blonde,middle,brown,female,a,normal,51
39,196,black,short,green,female,c,thin,37
70,154,red,short,brown,female,d,thin,20
17,208,red,long,green,female,b,normal,54
33,150,brown,long,grey,female,c,thin,53
60,199,grey,middle,grey,female,c,normal,24
45,171,grey,middle,green,female,d,sporty,56
44,192,black,middle,green,female,b,normal,43
41,195,red,middle,grey,female,d,thin,39
39,213,brown,middle,blue,female,c,thin,49
64,202,blonde,middle,brown,female,d,normal,28
29,166,black,long,grey,female,b,thin,54
58,165,red,long,green,female,d,sporty,37
40,184,brown,middle,green,female,a,thin,42
45,211,blonde,middle,brown,female,c,chubby,44
15,168,brown,short,brown,female,b,sporty,57
41,175,brown,short,blue,female,d,fat,50
22,140,red,short,green,female,c,sporty,56
61,143,red,long,blue,female,b,chubby,25
17,208,red,short,grey,female,d,sporty,48
67,203,grey,middle,green,female,b,fat,17
27,155,red,long,green,female,c,sporty,66
27,199,grey,long,blue,female,d,thin,50
54,207,black,short,blue,female,a,chubby,16
47,175,grey,long,grey,female,a,sporty,49
16,151,grey,short,brown,female,d,chubby,38
57,160,grey,long,blue,female,c,fat,27
66,174,red,middle,brown,female,c,fat,26
23,194,brown,short,blue,female,c,chubby,53
20,179,grey,middle,green,female,b,thin,54
65,181,red,middle,green,female,b,thin,25
56,214,grey,middle,grey,female,d,sporty,24
61,198,black,middle,grey,female,b,normal,23
50,185,blonde,short,blue,female,c,thin,30
41,195,grey,short,blue,female,d,sporty,43
55,151,grey,short,green,female,c,thin,22
26,197,red,long,brown,female,d,chubby,48
24,149,blonde,long,blue,female,d,normal,77
55,195,grey,middle,brown,female,c,normal,23
19,206,black,short,blue,female,c,chubby,48
25,186,brown,long,brown,female,a,normal,53
24,140,black,long,green,female,c,thin,52
29,215,grey,short,brown,female,b,thin,31
48,220,brown,middle,brown,female,c,normal,47
48,206,blonde,short,green,female,d,thin,41
66,185,blonde,short,green,female,a,normal,26
41,171,grey,middle,green,female,c,chubby,50
44,190,red,long,blue,female,d,thin,49
20,164,red,middle,grey,female,a,fat,43
44,156,red,long,grey,female,c,fat,44
21,208,grey,short,brown,female,a,normal,36
61,151,red,short,green,female,a,fat,16
56,167,blonde,middle,green,female,d,normal,37
65,216,blonde,short,brown,female,b,sporty,25
51,193,red,short,green,female,c,sporty,27
15,144,blonde,short,brown,female,b,thin,40
15,188,black,short,brown,female,b,thin,35
63,193,grey,middle,grey,female,d,chubby,20
40,147,brown,middle,grey,female,b,fat,38
44,215,red,middle,grey,female,d,thin,38
20,176,black,long,grey,female,d,fat,56
63,164,brown,middle,brown,female,d,chubby,27
59,195,blonde,short,green,female,d,normal,28
29,170,grey,long,brown,female,b,chubby,51
42,187,blonde,long,brown,female,c,chubby,51
33,204,red,middle,brown,female,c,thin,39
59,169,brown,long,blue,female,d,chubby,35
53,145,grey,long,blue,female,b,chubby,23
58,176,blonde,middle,green,female,b,chubby,31
29,182,grey,long,grey,female,b,chubby,46
20,171,grey,long,grey,female,d,normal,66
57,146,brown,short,brown,female,a,fat,14
51,170,blonde,long,brown,female,c,normal,38
47,200,blonde,long,brown,female,c,chubby,47
68,189,black,middle,green,female,a,sporty,23
14,175,grey,middle,blue,female,b,fat,46
54,149,grey,short,grey,female,b,chubby,16
37,159,blonde,long,green,female,b,fat,49
41,161,brown,middle,blue,female,d,thin,53
18,215,grey,middle,blue,female,c,thin,50
20,195,grey,long,green,female,a,chubby,43
56,147,grey,short,green,female,b,fat,15
28,193,black,short,grey,female,d,chubby,38
69,186,black,middle,brown,female,a,sporty,21
38,147,red,middle,brown,female,c,fat,36
22,166,red,long,green,female,b,fat,59
70,210,brown,long,grey,female,a,normal,25
59,210,grey,long,grey,female,d,fat,19
53,209,grey,middle,grey,female,d,chubby,19
60,146,black,short,blue,female,b,chubby,20
70,183,brown,middle,grey,female,a,sporty,27
69,211,blonde,short,grey,female,d,normal,26
17,151,brown,short,blue,female,d,sporty,60
20,169,blonde,short,brown,female,a,normal,57
23,211,red,long,brown,female,d,fat,44
31,158,blonde,short,grey,female,b,chubby,43
60,205,red,middle,grey,female,a,chubby,17
14,196,black,long,grey,female,b,chubby,40
30,158,black,short,blue,female,a,normal,43
31,212,red,middle,brown,female,d,sporty,45
26,171,red,short,blue,female,d,sporty,66
26,152,red,middle,grey,female,c,thin,52
29,165,grey,long,blue,female,a,sporty,58
55,186,black,long,brown,female,c,sporty,29
67,184,red,long,blue,female,d,chubby,29
45,215,brown,short,green,female,d,fat,36
25,161,grey,short,brown,female,b,fat,37
68,192,grey,long,green,female,d,fat,21
35,165,red,short,blue,female,b,chubby,48
47,219,red,long,brown,female,c,normal,47
70,176,blonde,middle,blue,female,a,fat,26
20,144,grey,middle,blue,female,d,normal,54
14,171,black,long,grey,female,c,chubby,56
42,172,black,short,green,female,c,thin,48
37,179,black,middle,brown,female,b,chubby,43
45,163,grey,long,grey,female,d,fat,41
63,212,brown,short,blue,female,b,sporty,28
60,142,grey,middle,green,female,b,sporty,24
31,156,brown,long,brown,female,b,thin,47
64,182,blonde,long,brown,female,d,thin,29
29,148,black,long,green,female,a,normal,46
24,173,black,short,blue,female,b,normal,60
46,154,brown,short,grey,female,b,sporty,47
48,178,red,middle,brown,female,b,normal,49
37,164,red,short,green,female,d,sporty,52
25,209,grey,middle,blue,female,a,chubby,38
38,157,red,long,brown,female,a,fat,33
47,180,grey,long,brown,female,a,chubby,37
29,165,blonde,long,blue,female,b,chubby,76
41,199,black,short,brown,female,b,normal,34
24,145,black,long,brown,female,d,sporty,55
53,186,red,long,brown,female,a,normal,23
65,172,grey,long,brown,female,c,fat,26
19,148,blonde,long,grey,female,d,normal,65
43,144,blonde,short,grey,female,d,chubby,40
40,145,red,middle,green,female,d,thin,42
45,184,red,long,grey,female,b,chubby,45
48,153,grey,middle,blue,female,c,fat,39
25,205,grey,middle,brown,female,d,thin,40
49,210,red,short,blue,female,b,normal,41
14,176,red,middle,grey,female,c,sporty,60
21,185,brown,long,grey,female,c,normal,69
51,206,red,middle,grey,female,c,thin,23
47,143,black,middle,blue,female,a,chubby,31
39,218,brown,short,blue,female,a,fat,31
45,192,grey,middle,brown,female,c,fat,31
43,205,grey,middle,brown,female,d,sporty,40
36,164,black,short,brown,female,a,thin,30
51,147,red,middle,green,female,d,normal,27
25,194,black,short,blue,female,b,sporty,51
15,205,black,long,brown,female,d,normal,48
42,155,grey,long,brown,female,b,sporty,46
62,214,brown,short,green,female,b,chubby,22
62,217,red,middle,brown,female,c,fat,19
70,193,blonde,middle,brown,female,b,chubby,23
20,159,red,short,blue,female,c,thin,54
49,158,red,long,green,female,b,chubby,45
61,206,red,long,grey,female,d,normal,28
26,218,blonde,short,brown,female,a,thin,38
38,206,brown,middle,green,female,b,normal,49
17,147,red,short,brown,female,b,fat,33
57,189,grey,short,brown,female,a,thin,13
51,195,brown,middle,green,female,a,normal,25
54,189,black,long,brown,female,d,sporty,28
63,166,grey,short,blue,female,b,thin,25
47,177,blonde,short,green,female,d,sporty,59
15,180,brown,short,blue,female,b,normal,60
32,152,brown,short,green,female,b,thin,43
33,192,blonde,short,blue,female,a,normal,44
14,219,red,long,blue,female,d,thin,48
27,185,grey,middle,green,female,a,chubby,41
66,160,grey,long,blue,female,a,fat,21
20,172,black,long,brown,female,c,normal,68
36,199,blonde,middle,blue,female,d,thin,49
64,204,blonde,long,green,female,d,sporty,34
32,162,red,short,brown,female,d,thin,40
50,162,red,middle,green,female,b,thin,26
41,210,black,middle,green,female,c,fat,36
47,143,red,long,brown,female,a,thin,31
22,143,grey,short,grey,female,c,sporty,50
49,166,grey,long,green,female,a,chubby,42
38,145,black,long,green,female,d,fat,40
25,205,brown,middle,grey,female,c,thin,52
59,217,blonde,middle,green,female,b,normal,29
70,140,blonde,middle,brown,female,b,thin,23
32,166,black,middle,brown,female,b,normal,50
59,171,brown,short,brown,female,c,thin,29
15,210,brown,long,grey,female,d,normal,56
53,176,grey,middle,brown,female,c,chubby,25
46,193,blonde,long,blue,female,a,normal,60
16,172,red,long,brown,female,d,thin,58
57,183,red,middle,grey,female,c,chubby,26
32,152,black,short,green,female,c,normal,47
32,144,brown,long,blue,female,c,normal,59
16,142,grey,long,green,female,b,normal,50
22,197,red,middle,grey,female,b,fat,42
47,168,black,long,blue,female,a,normal,52
45,179,black,middle,blue,female,a,chubby,42
64,154,grey,long,brown,female,a,normal,22
49,214,red,long,brown,female,a,chubby,31
39,177,red,middle,blue,female,c,thin,55
38,182,black,long,green,female,b,thin,46
64,141,grey,middle,brown,female,d,fat,16
56,164,brown,long,grey,female,d,thin,31
16,160,blonde,short,blue,female,b,chubby,55
65,193,red,middle,brown,female,a,sporty,21
26,182,red,long,brown,female,c,normal,61
64,150,red,short,grey,female,c,thin,23
17,158,brown,middle,grey,female,d,chubby,52
64,188,red,short,brown,female,b,chubby,19
21,181,grey,long,grey,female,b,normal,57
49,173,brown,short,brown,female,d,chubby,47
46,185,black,short,grey,female,d,sporty,44
35,186,red,middle,blue,female,a,thin,38
24,210,red,long,blue,female,a,fat,42
19,194,grey,short,blue,female,a,chubby,37
61,197,blonde,short,blue,female,a,thin,20
18,215,black,middle,grey,female,b,fat,40
28,167,red,long,grey,female,d,chubby,58
57,164,red,middle,blue,female,b,sporty,32
22,203,brown,long,blue,female,c,fat,58
36,147,brown,middle,brown,female,c,normal,50
50,173,black,long,brown,female,b,thin,28
27,218,red,long,blue,female,b,sporty,60
58,181,brown,short,blue,female,a,thin,22
62,207,brown,short,brown,female,d,sporty,25
56,210,grey,long,grey,female,b,sporty,25
56,196,grey,short,blue,female,b,chubby,18
23,154,red,short,brown,female,c,chubby,46
54,174,blonde,short,grey,female,b,normal,32
55,185,red,short,green,female,b,fat,20
52,141,brown,middle,grey,female,a,thin,19
27,140,grey,middle,green,female,d,sporty,52
19,184,brown,long,green,female,a,normal,61
24,217,red,middle,brown,female,a,fat,32
27,175,brown,middle,brown,female,b,sporty,66
42,144,brown,short,green,female,c,chubby,42
49,197,grey,middle,green,female,c,chubby,37
46,143,grey,long,green,female,d,thin,39
46,183,red,middle,blue,female,a,normal,44
24,177,grey,short,green,female,a,thin,42
20,220,brown,middle,blue,female,d,normal,62
62,170,red,short,brown,female,d,fat,23
48,152,black,short,green,female,c,thin,39
35,154,red,middle,brown,female,c,normal,49
67,212,black,middle,grey,female,c,thin,22
35,196,blonde,middle,blue,female,c,sporty,59
31,201,black,short,blue,female,a,normal,35
62,172,grey,short,green,female,c,chubby,26
63,200,blonde,short,grey,female,c,thin,24
56,189,brown,short,green,female,b,normal,27
20,203,red,long,brown,female,b,thin,48
34,183,blonde,middle,green,female,c,chubby,54
17,153,black,middle,green,female,d,thin,48
47,194,red,short,brown,female,d,fat,28
37,142,blonde,long,brown,female,a,fat,35
15,219,brown,short,blue,female,d,sporty,54
45,156,grey,long,blue,female,b,normal,50
65,150,grey,long,green,female,b,fat,22
68,214,grey,short,brown,female,d,normal,19
69,177,black,long,green,female,a,fat,23
55,200,blonde,long,blue,female,c,chubby,37
49,198,black,middle,green,female,b,thin,35
14,146,brown,long,brown,female,b,sporty,53
48,170,red,long,blue,female,d,sporty,65
58,151,black,long,brown,female,a,fat,17
31,164,red,long,green,female,a,normal,50
26,197,brown,long,blue,female,a,sporty,58
70,198,black,middle,grey,female,b,normal,23
49,196,black,short,brown,female,d,thin,29
41,212,blonde,long,brown,female,a,sporty,46
36,167,brown,short,blue,female,c,chubby,56
20,150,grey,middle,brown,female,b,chubby,44
64,161,grey,short,grey,female,b,thin,20
23,166,blonde,short,grey,female,d,sporty,67
14,181,black,middle,brown,female,a,thin,33
35,210,grey,long,grey,female,c,fat,37
18,143,grey,short,blue,female,a,chubby,36
33,152,black,long,blue,female,c,chubby,51
49,206,brown,middle,green,female,c,normal,51
56,142,red,middle,grey,female,d,fat,19
39,213,grey,short,blue,female,b,chubby,33
55,189,black,middle,grey,female,c,sporty,28
57,208,brown,short,grey,female,d,fat,19
42,192,blonde,long,green,female,a,thin,43
50,167,brown,long,green,female,c,thin,36
41,170,black,long,green,female,d,normal,60
41,168,grey,short,green,female,c,chubby,45
15,192,brown,long,brown,female,c,sporty,59
25,174,grey,short,green,female,c,sporty,62
50,185,brown,middle,brown,female,d,sporty,31
56,175,brown,middle,grey,female,d,normal,35
42,151,grey,short,brown,female,b,thin,30
36,140,blonde,long,brown,female,d,normal,53
50,172,brown,middle,blue,female,c,normal,39
29,149,black,long,grey,female,b,chubby,44
54,150,black,middle,brown,female,c,thin,23
29,210,black,long,brown,female,b,sporty,49
63,182,brown,short,brown,female,a,sporty,23
59,145,brown,middle,brown,female,a,chubby,19
32,197,red,long,blue,female,c,sporty,57
44,147,grey,short,brown,female,b,sporty,35
48,218,brown,middle,blue,female,b,chubby,43
35,172,red,long,grey,female,a,fat,43
69,145,red,long,grey,female,c,normal,29
28,186,red,short,brown,female,b,chubby,38
64,155,blonde,long,grey,female,c,normal,35
41,191,brown,long,brown,female,b,normal,51
65,211,grey,short,green,female,b,thin,17
41,191,brown,short,grey,female,c,normal,49
62,218,red,short,brown,female,c,normal,23
64,196,grey,long,green,female,b,sporty,26
44,192,grey,short,grey,female,a,normal,29
38,189,black,middle,blue,female,b,fat,38
64,208,brown,middle,grey,female,a,normal,23
17,215,black,middle,blue,female,c,normal,54
28,164,black,middle,blue,female,d,normal,58
70,186,blonde,short,blue,female,d,thin,27
57,140,blonde,middle,grey,female,b,thin,24
19,179,brown,short,grey,female,d,normal,64
60,217,red,middle,blue,female,a,thin,19
51,156,grey,short,brown,female,c,fat,17
65,163,brown,short,grey,female,a,fat,19
23,181,blonde,short,brown,female,d,chubby,51
29,194,blonde,middle,brown,female,b,chubby,46
59,193,black,long,blue,female,c,thin,27
23,190,blonde,long,grey,female,d,thin,59
38,170,black,long,blue,female,a,chubby,49
51,155,grey,middle,blue,female,c,normal,29
34,205,brown,short,grey,female,c,normal,47
29,220,brown,middle,brown,female,b,normal,49
61,180,grey,long,blue,female,d,chubby,30
37,149,black,long,brown,female,b,thin,38
63,192,brown,long,grey,female,d,fat,25
69,192,grey,middle,brown,female,d,chubby,19
24,195,grey,middle,brown,female,d,sporty,49
18,159,blonde,middle,brown,female,d,normal,62
18,202,brown,middle,blue,female,a,fat,44
33,181,grey,middle,blue,female,a,fat,32
64,169,grey,middle,blue,female,a,fat,21
53,179,blonde,middle,blue,female,b,thin,32
65,177,grey,middle,green,female,b,sporty,30
54,180,blonde,middle,green,female,a,fat,25
59,177,brown,middle,green,female,d,thin,31
31,167,brown,short,blue,female,a,chubby,46
37,200,brown,middle,green,female,c,normal,53
39,196,black,long,brown,female,a,normal,37
64,219,brown,short,brown,female,a,chubby,16
33,154,black,short,green,female,d,fat,35
53,205,brown,long,grey,female,a,sporty,26
69,140,grey,long,blue,female,d,normal,28
52,144,blonde,middle,brown,female,b,thin,23
31,143,black,middle,blue,female,a,thin,33
62,178,blonde,short,brown,female,d,fat,25
34,210,brown,middle,green,female,a,fat,33
70,143,brown,short,grey,female,b,fat,18
24,193,blonde,middle,brown,female,d,thin,51
37,205,brown,short,blue,female,c,chubby,45
16,200,blonde,short,blue,female,d,normal,56
66,177,grey,short,blue,female,d,chubby,25
62,187,grey,short,grey,female,c,fat,17
62,179,grey,middle,grey,female,c,thin,26
23,150,black,short,green,female,c,fat,44
35,161,blonde,short,blue,female,c,fat,50
45,163,blonde,middle,grey,female,d,chubby,51
47,188,grey,short,blue,female,a,sporty,36
53,192,red,middle,green,female,b,normal,26
70,202,brown,short,brown,female,a,chubby,16
41,140,blonde,middle,grey,female,a,chubby,36
62,166,red,short,brown,female,d,normal,28
59,195,grey,long,brown,female,d,fat,19
64,195,black,long,blue,female,a,thin,21
35,190,grey,long,grey,female,a,sporty,42
24,208,black,short,grey,female,d,thin,40
45,215,brown,middle,brown,female,b,thin,38
59,189,brown,long,grey,female,d,normal,32
23,196,brown,long,brown,female,a,fat,40
65,216,blonde,short,blue,female,a,thin,20
36,205,blonde,long,blue,female,a,sporty,63
52,217,grey,long,grey,female,d,chubby,22
58,188,black,short,brown,female,b,fat,15
64,175,blonde,middle,grey,female,c,chubby,34
17,165,grey,middle,brown,female,b,chubby,47
30,165,blonde,short,green,female,b,fat,52
66,180,black,long,brown,female,d,sporty,32
65,168,black,short,grey,female,a,sporty,25
41,201,red,short,brown,female,c,fat,30
37,167,blonde,long,green,female,d,thin,62
31,162,grey,long,blue,female,c,chubby,52
37,189,blonde,middle,grey,female,c,sporty,58
23,161,brown,short,brown,female,d,sporty,59
24,196,black,middle,brown,female,b,thin,40
55,183,red,middle,blue,female,c,sporty,33
31,171,blonde,short,grey,female,b,normal,57
42,145,brown,short,grey,female,d,normal,45
24,204,blonde,long,green,female,a,normal,56
31,152,blonde,long,grey,female,d,normal,59
70,181,brown,long,green,female,d,thin,31
67,147,blonde,short,blue,female,c,fat,25
43,145,black,long,grey,female,d,fat,37
25,140,brown,short,blue,female,d,fat,46
